[Id],[A][TNF_VS_Control],[M][TNF_VS_Control],[P][TNF_VS_Control],[As][TNF_VS_Control]
200634_at,13.11114917,0.140284,0.731732302,0
200635_s_at,9.581439016,0.117158187,0.835498681,0
200636_s_at,10.28178556,-0.008336228,0.999941005,0
200637_s_at,9.165127833,0.14361995,0.934733014,0
200638_s_at,12.38228141,0.004794893,0.999941005,0
200639_s_at,11.85800679,-0.05258718,0.999941005,0
200640_at,12.73681929,0.089232013,0.97140812,0
200641_s_at,12.0163342,0.013763074,0.999941005,0
200642_at,12.13994867,-0.041622282,0.999941005,0
200643_at,10.16641529,-0.092014861,0.937948235,0
200644_at,11.4587379,0.125447396,0.758640329,0
200645_at,12.48336896,-0.099663188,0.89248834,0
200646_s_at,8.820831802,0.067935377,0.999941005,0
200647_x_at,12.0314231,-0.002529396,0.999941005,0
200648_s_at,8.099560023,0.015932266,0.999941005,0
200649_at,10.48586408,0.101072554,0.99334368,0
200650_s_at,13.13647046,0.037838379,0.999941005,0
200651_at,13.15396421,-0.120582906,0.790847745,0
200652_at,11.3244407,0.01633305,0.999941005,0
200653_s_at,11.09821543,0.11693837,0.892750863,0
200654_at,12.45504797,0.038603797,0.999941005,0
200655_s_at,11.56067125,0.003176345,0.999941005,0
200656_s_at,11.34938828,0.051405019,0.999941005,0
200657_at,12.78003149,-0.054035747,0.999941005,0
200658_s_at,10.03171487,-0.16424082,0.73850195,0
200659_s_at,9.900610351,0.043954168,0.999941005,0
200660_at,12.15315746,0.102361598,0.960220749,0
200661_at,10.81713168,-0.053501275,0.999941005,0
200662_s_at,11.29275629,-0.106768898,0.910379179,0
200663_at,12.30005395,0.132223045,0.735882041,0
200664_s_at,9.638410487,-0.168280542,0.811609337,0
200665_s_at,12.50169953,-0.062052545,0.999941005,0
200666_s_at,10.31822788,-0.178161368,0.615800719,0
200667_at,11.04613204,0.163949084,0.714537198,0
200668_s_at,11.64150756,0.017881142,0.999941005,0
200669_s_at,10.92314632,0.170433337,0.855985524,0
200670_at,9.883389831,0.333415368,0.116861121,0
200671_s_at,9.417491933,0.147746826,0.993588831,0
200672_x_at,10.33163125,0.193693799,0.809273164,0
200673_at,12.21473278,-0.110018243,0.890728458,0
200674_s_at,13.61176987,0.000723462,0.999941005,0
200675_at,11.98336694,0.112650503,0.947153185,0
200676_s_at,9.048427251,-0.011338174,0.999941005,0
200677_at,12.07166696,0.043013775,0.999941005,0
200678_x_at,11.11205473,0.052007049,0.999941005,0
200679_x_at,12.19745472,-0.080797203,0.972821724,0
200680_x_at,13.27402099,-0.084363637,0.933705497,0
200681_at,12.20788205,-0.014191784,0.999941005,0
200682_s_at,11.22175164,-0.159838822,0.631393202,0
200683_s_at,10.37708347,-0.075501288,0.987048115,0
200684_s_at,9.320087702,0.084955841,0.997843304,0
200685_at,6.663015204,-0.195281108,0.866743905,0
200686_s_at,10.62803606,-0.223938267,0.780348504,0
200687_s_at,10.47133733,-0.107293436,0.89248834,0
200688_at,8.067618289,0.032969784,0.999941005,0
200689_x_at,13.58434935,-0.059435737,0.999941005,0
200690_at,8.847597408,0.011545483,0.999941005,0
200691_s_at,10.90211045,0.092242911,0.975283725,0
200692_s_at,10.47882459,-0.04013827,0.999941005,0
200693_at,12.69468647,-0.110503068,0.867424962,0
200694_s_at,10.67814829,-0.01892685,0.999941005,0
200695_at,10.65240485,-0.020579493,0.999941005,0
200696_s_at,10.91535516,-0.16108503,0.757563004,0
200697_at,11.49673,0.210879479,0.38306719,0
200698_at,11.2132794,-0.083817841,0.968719474,0
200699_at,11.12761514,0.007370504,0.999941005,0
200700_s_at,11.33036282,-0.086964105,0.994119403,0
200701_at,11.47330923,-0.045945144,0.999941005,0
200702_s_at,8.842896694,-0.096627211,0.999941005,0
200703_at,12.23209521,-0.20903496,0.413110723,0
200704_at,11.30734131,0.409576044,0.208520835,0
200705_s_at,12.93936352,-0.022207266,0.999941005,0
200706_s_at,10.90271931,0.376707325,0.166462863,0
200707_at,10.33252712,0.077201788,0.999941005,0
200708_at,11.3375009,-0.012397016,0.999941005,0
200709_at,11.78088146,0.069713512,0.999941005,0
200710_at,11.40350516,0.027865978,0.999941005,0
200711_s_at,10.69485581,-0.010890796,0.999941005,0
200712_s_at,10.29719007,-0.019621598,0.999941005,0
200713_s_at,12.63883683,0.016989176,0.999941005,0
200714_x_at,11.26913352,0.127324883,0.731732302,0
200715_x_at,12.79116613,-0.132907289,0.809343333,0
200716_x_at,13.61375106,-0.102633454,0.872777377,0
200717_x_at,13.59482188,-0.013455417,0.999941005,0
200718_s_at,12.71329297,-0.041892533,0.999941005,0
200719_at,9.097128316,0.051153404,0.999941005,0
